HouseID,Area_sqft,Bedrooms,Bathrooms,Age_years,City,FurnishingStatus,Parking,MainRoad,Price
H0402,2294,5,2,27,Delhi,FURNISHED,0,YES,13121696.24
H0176,1908,1,2,4,Pune,furnished,0,YES,7947339.34
H0438,2476,4,2,17,Mumbai,furnished,0,Y,17210040.21
H0213,3255,1,1,33,Delhi, Unfurnished,0,NO,15379806.91
H0134,4152,2,3,9,Chennai,semi-furnished,3,Y,14676315.74
H0139,1196,3,1,15,Pune,SEMI-FURNISHED,3,YES,5087597.27
H0415,1268,5,3,10,Mumbai,SEMI-FURNISHED,0,yes,8647408.09
H0381,2184,5,,29,Mumbai,FURNISHED,0,YES,14861427.23
H0327,4087,1,1,21,Hyderabad,,2,yes,13065733.46
H0082,2681,3,1,19,Mumbai, Unfurnished,0,Y,15517280.01
H0268,798,4,3,15,Pune,FURNISHED,2,No,4264868.92
H0295,2020,4,3,25,Delhi,semi-furnished,3,Y,10763950.55
H0324,2211,5,4,2,Hyderabad,furnished,1,Yes,8951875.82
H0378,2853,2,1,35,Delhi,FURNISHED,0,yes,15790831.31
H0187,3414,3,,29,Hyderabad,UNFURNISHED,2,Yes,11476138.63
H0143,2301,1,,22,Chennai,unfurnished,1,N,7178494.77
H0045,3927,3,4,22,Bengaluru,Unfurnished,2,Yes,17901003.58
H0380,2630,3,4,31,Pune,Unfurnished,2,yes,9856246.37
H0379,3411,2,,3,Hyderabad,Semi-Furnished,0,No,11635377.27
H0244,2764,2,3,20,Pune,Semi-Furnished,3,yes,10936736.96
H0130,1830,2,1,28,Bengaluru,Semi-Furnished,1,No,8577907.3
H0237,1581,3,1,9,Pune,SEMI-FURNISHED,0,Yes,6430170.53
H0509,3531,4,3,18,Pune,Furnished,3,YES,15121460.67
H0067,2048,1,2,15,Chennai,unfurnished,1,No,6722773.09
H0047,3655,4,1,12,Pune, Unfurnished,3,YES,13740571.78
H0450,1758,3,3,0,Bengaluru,,2,yes,8793358.33
H0510,2779,4,1,20,Chennai, Unfurnished,3,Y,9331780.4
H0038,730,1,1,9,Mumbai, Unfurnished,0,yes,4471232.38
H0214,3545,1,1,34,Mumbai,unfurnished,3,Y,20272179.48
H0263,2324,2,1,35,Pune,FURNISHED,0,YES,9628757.41
H0206,4227,2,1,19,Mumbai,unfurnished,3,yes,24379470.05
H0049,3602,2,1,19,Mumbai, Furnished ,1,Yes,24261348.87
H0014,4296,2,2,1,Chennai, Furnished ,0,no,16396142.09
H0292,2921,5,4,3,Delhi,Semi-Furnished,2,no,15813949.51
H0474,821,3,3,10,Pune,SEMI-FURNISHED,1,Yes,3560719.65
H0311,603,4,4,14,Mumbai, Furnished ,3,YES,5014437.58
H0242,2794,5,2,1,Pune,semi-furnished,3,NO,11204263.77
H0363,3208,3,2,23,Hyderabad,SEMI-FURNISHED,3,Y,11185224.77
H0500,2905,5,,17,Delhi,Unfurnished,3,yes,14784529.38
H0381,2184,5,,29,Mumbai,FURNISHED,0,YES,14861427.23
H0458,1844,5,3,0,Hyderabad,Semi-Furnished,0,YES,36336962.7
H0184,4035,3,3,0,Hyderabad, Unfurnished,2,yes,13373097.51
H0422,2875,2,1,9,Delhi,Semi-Furnished,1,YES,14946405.49
H0397,1967,4,1,11,Bengaluru,Semi-Furnished,3,Yes,10044560.57
H0002,2613,4,4,18,Delhi,Unfurnished,2,Y,13557713.51
H0480,4043,1,1,20,Hyderabad, Unfurnished,3,Y,13386571.41
H0161,2004,5,2,23,Hyderabad,unfurnished,2,YES,7109332.6
H0484,2914,2,1,5,Pune,UNFURNISHED,1,YES,10720619.97
H0405,787,5,,20,Mumbai, Furnished ,3,yes,6373738.3
H0127,3691,4,4,22,Pune, Furnished ,1,YES,15597415.91
H0236,3970,3,4,21,Hyderabad, Furnished ,3,N,15074244.92
H0229,4407,1,2,34,Bengaluru,,3,Y,23098952.16
H0336,3158,4,4,29,Hyderabad,furnished,1,Yes,12047026.35
H0079,3282,5,2,6,Mumbai, Unfurnished,3,No,19805626.79
H0304,1600,2,1,33,Hyderabad,FURNISHED,1,no,6201043.02
H0076,1688,5,3,5,Hyderabad,,2,yes,6788968.52
H0341,3775,1,1,26,Delhi,Furnished,0,Yes,21026660.5
H0022,3529,1,2,12,Bengaluru,SEMI-FURNISHED,2,Y,17098895.77
H0056,844,3,2,21,Chennai,Semi-Furnished,3,Yes,3058779.34
H0395,2584,5,2,17,Bengaluru,SEMI-FURNISHED,1,Yes,13212632.89
H0181,4335,3,2,20,Pune,semi-furnished,2,Yes,16244492.43
H0035,3448,5,3,11,Bengaluru,SEMI-FURNISHED,1,yes,17380625.26
